record_id,source_id,text,task,auto_label,auto_confidence,final_label,annotator,is_human_reviewed,human_override,annotation_time_sec,created_at,metadata,signal_Positive,signal_Negative,signal_Neutral
4ef43895-989c-41d9-9935-6dc55730a165,sentiment_0019,Fantastic customer service! They resolved my issue in minutes. (sample #19),sentiment,Negative,0.25,Negative,auto,False,False,0.0,2026-02-24T16:08:26.079248+00:00,{},1,2,0
e830e057-34a7-400d-ac8e-71f8374e707d,sentiment_0020,Never buying from this store again. Shipment was 3 weeks late! (sample #20),sentiment,Negative,0.125,Negative,auto,False,False,0.0,2026-02-24T16:08:26.079347+00:00,{},0,1,0
1a6844e9-93c6-4097-a036-d39ae428fa0b,sentiment_0021,Mediocre product. Average at best. (sample #21),sentiment,Positive,0.1429,Positive,auto,False,False,0.0,2026-02-24T16:08:26.079426+00:00,{},1,1,1
6d2905a7-0319-47eb-b14f-4a978cbebc0e,sentiment_0022,Exceeded all my expectations. Outstanding build quality! (sample #22),sentiment,Positive,0.2857,Positive,auto,False,False,0.0,2026-02-24T16:08:26.079564+00:00,{},2,0,0
c767180b-b8d1-43f1-a1e9-ebdfde4b9916,sentiment_0023,Disappointed with the packaging but the product itself is decent. (sample #23),sentiment,Positive,0.1429,Positive,auto,False,False,0.0,2026-02-24T16:08:26.079673+00:00,{},1,1,0
3de7454f-5dbe-4284-91f5-0f6b38a37700,sentiment_0024,Great value for money. Highly recommend to anyone looking for a budget option. (sample #24),sentiment,Positive,0.2857,Positive,auto,False,False,0.0,2026-02-24T16:08:26.079784+00:00,{},2,0,0
f50ba526-81c5-4d0e-8e5f-24d87156fff1,sentiment_0025,The item arrived damaged. Very frustrated with this experience. (sample #25),sentiment,Negative,0.125,Negative,auto,False,False,0.0,2026-02-24T16:08:26.079902+00:00,{},0,1,0
6298c464-f6f6-445b-8c05-d3fb19044a66,sentiment_0026,"Perfect for my needs. Simple, clean design and works perfectly. (sample #26)",sentiment,Positive,0.2857,Positive,auto,False,False,0.0,2026-02-24T16:08:26.080231+00:00,{},2,0,0
3c61f88c-8541-4000-8bb9-1e1396d5c7b7,sentiment_0027,Not sure about this one. It has both good and bad aspects. (sample #27),sentiment,Positive,0.1429,Positive,auto,False,False,0.0,2026-02-24T16:08:26.080612+00:00,{},1,1,1
030f6253-b38d-4d27-986b-3b41e197d7d4,sentiment_0028,Absolutely love it! Would give 6 stars if I could! 💯 (sample #28),sentiment,Positive,0.2857,Positive,auto,False,False,0.0,2026-02-24T16:08:26.080785+00:00,{},2,0,0
21b6f3ea-1e2a-45f6-8c69-245f8f4e7e2d,sentiment_0029,Poor customer support. Took 3 weeks to get a response. (sample #29),sentiment,Negative,0.125,Negative,auto,False,False,0.0,2026-02-24T16:08:26.080960+00:00,{},0,1,0
b73b8ecd-926a-4343-a76e-a16bee785090,sentiment_0030,Solid product. Nothing extraordinary but reliable and consistent. (sample #30),sentiment,Positive,0.1429,Positive,auto,False,False,0.0,2026-02-24T16:08:26.081199+00:00,{},1,0,0
cfe07346-5a05-4835-8dc6-c1a7c64f7f14,sentiment_0031,This product is absolutely amazing! Best purchase I've made this year. 😍 (sample #31),sentiment,Positive,0.4286,Positive,auto,False,False,0.0,2026-02-24T16:08:26.081359+00:00,{},3,0,0
78ca1276-7722-4d94-99c2-acfe4e8b7baf,sentiment_0032,Terrible quality. Broke after 2 days. Complete waste of money. 😠 (sample #32),sentiment,Negative,0.375,Negative,auto,False,False,0.0,2026-02-24T16:08:26.081498+00:00,{},1,3,0
3f45806e-6e91-412f-9f3e-25e8bc5b8bae,sentiment_0033,"It's okay. Nothing special, but does the job. (sample #33)",sentiment,Neutral,0.3333,Neutral,auto,False,False,0.0,2026-02-24T16:08:26.081657+00:00,{},0,0,1
ee39fa3e-6078-4d0f-98d7-dd55b8f0e154,sentiment_0034,Fantastic customer service! They resolved my issue in minutes. (sample #34),sentiment,Negative,0.25,Negative,auto,False,False,0.0,2026-02-24T16:08:26.081784+00:00,{},1,2,0
114ce8a0-6770-47e6-a604-889d06769699,sentiment_0035,Never buying from this store again. Shipment was 3 weeks late! (sample #35),sentiment,Negative,0.125,Negative,auto,False,False,0.0,2026-02-24T16:08:26.081920+00:00,{},0,1,0
efefac70-74f9-4cce-860a-8ac989902e7d,sentiment_0036,Mediocre product. Average at best. (sample #36),sentiment,Positive,0.1429,Positive,auto,False,False,0.0,2026-02-24T16:08:26.082077+00:00,{},1,1,1
243ce758-b8e0-4103-952e-c2df47700d62,sentiment_0037,Exceeded all my expectations. Outstanding build quality! (sample #37),sentiment,Positive,0.2857,Positive,auto,False,False,0.0,2026-02-24T16:08:26.082211+00:00,{},2,0,0
fea401a2-bb79-4768-866a-7cd4769f525d,sentiment_0038,Disappointed with the packaging but the product itself is decent. (sample #38),sentiment,Positive,0.1429,Positive,auto,False,False,0.0,2026-02-24T16:08:26.082847+00:00,{},1,1,0
0a4891cf-1610-4666-bd3b-7af0cbb89784,sentiment_0039,Great value for money. Highly recommend to anyone looking for a budget option. (sample #39),sentiment,Positive,0.2857,Positive,auto,False,False,0.0,2026-02-24T16:08:26.083289+00:00,{},2,0,0
8912e7e6-f29c-45ed-a9ce-a36b2592bfbf,sentiment_0040,The item arrived damaged. Very frustrated with this experience. (sample #40),sentiment,Negative,0.125,Negative,auto,False,False,0.0,2026-02-24T16:08:26.083508+00:00,{},0,1,0
32606a9e-d7e9-416f-94a1-a0ba305b7da1,sentiment_0041,"Perfect for my needs. Simple, clean design and works perfectly. (sample #41)",sentiment,Positive,0.2857,Positive,auto,False,False,0.0,2026-02-24T16:08:26.083677+00:00,{},2,0,0
a5c6def8-3c3d-4166-8114-6da7e1f1cc2b,sentiment_0042,Not sure about this one. It has both good and bad aspects. (sample #42),sentiment,Positive,0.1429,Positive,auto,False,False,0.0,2026-02-24T16:08:26.083807+00:00,{},1,1,1
459b6164-a2d4-49c7-96f3-ef6435af1f78,sentiment_0043,Absolutely love it! Would give 6 stars if I could! 💯 (sample #43),sentiment,Positive,0.2857,Positive,auto,False,False,0.0,2026-02-24T16:08:26.083959+00:00,{},2,0,0
23c84505-49df-4085-9ca5-818dbca31930,sentiment_0044,Poor customer support. Took 3 weeks to get a response. (sample #44),sentiment,Negative,0.125,Negative,auto,False,False,0.0,2026-02-24T16:08:26.084142+00:00,{},0,1,0
779ba871-f05a-4c01-a69b-bef39fd858e1,sentiment_0045,Solid product. Nothing extraordinary but reliable and consistent. (sample #45),sentiment,Positive,0.1429,Positive,auto,False,False,0.0,2026-02-24T16:08:26.084334+00:00,{},1,0,0
2c644495-1302-4e5d-a24a-35e6d978539f,sentiment_0046,This product is absolutely amazing! Best purchase I've made this year. 😍 (sample #46),sentiment,Positive,0.4286,Positive,auto,False,False,0.0,2026-02-24T16:08:26.084593+00:00,{},3,0,0
f63282ab-a53c-4faa-924b-4f3cef32c0f5,sentiment_0047,Terrible quality. Broke after 2 days. Complete waste of money. 😠 (sample #47),sentiment,Negative,0.375,Negative,auto,False,False,0.0,2026-02-24T16:08:26.084889+00:00,{},1,3,0
a3bba3ad-cd4a-4e81-b7f9-5ad02f8b45c4,sentiment_0048,"It's okay. Nothing special, but does the job. (sample #48)",sentiment,Neutral,0.3333,Neutral,auto,False,False,0.0,2026-02-24T16:08:26.085301+00:00,{},0,0,1
a4b94690-4727-43f3-93d0-50d86ca13c02,sentiment_0049,Fantastic customer service! They resolved my issue in minutes. (sample #49),sentiment,Negative,0.25,Negative,auto,False,False,0.0,2026-02-24T16:08:26.085650+00:00,{},1,2,0
05f4bb6c-ac23-46e0-9601-305e89b05c2e,sentiment_0050,Never buying from this store again. Shipment was 3 weeks late! (sample #50),sentiment,Negative,0.125,Negative,auto,False,False,0.0,2026-02-24T16:08:26.085949+00:00,{},0,1,0
